endTime,artistName,trackName,msPlayed
2022-03-09 11:07,Jadeci,Tm08,120000
2022-03-09 11:09,Jadeci,Thot$,127228
2022-03-09 11:11,Jadeci,Amaterasu 2,145425
2022-03-09 11:14,Jadeci,Flipdarolla,158630
2022-03-09 11:17,Jadeci,MidnightKatKilla,154357
2022-03-09 11:19,Jadeci,Susano III,167937
2022-03-09 11:31,Jadeci,Gtfb,74563
2022-03-09 18:15,Channel Tres,Black Moses (feat. JPEGMAFIA),260224
2022-03-09 18:19,FKJ,Risk,238834
2022-03-09 18:23,Redhands,ORANGE SODA,219428
2022-03-09 18:28,Rav,Lovedrug (Off That),263830
2022-03-09 18:30,Jaxxon D. Silva,A Swollen Song,130370
2022-03-09 18:33,JPEGMAFIA,black stacey dash,172729
2022-03-09 18:37,MED,The Stroll,242920
2022-03-09 18:39,Ill Addicts,YSL,110680
2022-03-09 18:41,Noname,Rainforest,162436
2022-03-09 18:44,The Garden,Make a Wish,167000
2022-03-09 18:47,ize,This Is Not a Drill,156880
2022-03-09 18:50,Lil Darkie,i can see clearly,193548
2022-03-09 18:53,Pouya,Leave Me Alone,184539
2022-03-09 18:55,Post Malone,Wow.,149546
2022-03-09 19:01,LordSakima,French Avenues,306024
2022-03-09 19:03,Ski Mask The Slump God,Lost In Time,121666
2022-03-09 19:06,Deep October,If I Miss You,175357
2022-03-09 19:09,Bktherula,IDK WHAT TO TELL YOU,210730
2022-03-09 19:11,TeeRi0,Black AirForces,132888
2022-03-09 19:14,Angelo Mota,TONY WITH THE NISSAN,169920
2022-03-09 19:18,Raury,God's Whisper,243706
2022-03-09 19:20,Paris Texas,BETTER DAYS,119333
2022-03-09 19:22,XXXTENTACION,ATTENTION!,120055
2022-03-09 19:24,internetboy,mars man,127320
2022-03-09 19:27,internetboy,LoveIsBlue&green,179983
2022-03-09 19:31,DrownMili,War Outside,216540
2022-03-09 19:34,Kamiyada+,3 AM,204029
2022-03-09 19:38,Cresylic,action,198530
2022-03-09 19:39,internetboy,three ho's,103140
2022-03-09 19:43,Ty Dolla $ign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",231618
2022-03-09 19:46,CHRIST DILLINGER,Desperado,189474
2022-03-09 19:50,Afourteen,Suburban Sociopath,234794
2022-03-09 19:54,Breakbot,Baby I'm Yours,215506
2022-03-09 19:56,Afourteen,BAD GUY,130000
2022-03-09 20:00,Aaron Smith,Dancin - Krono Remix,256000
2022-03-09 20:02,Neilaworld,ITACHii,113684
2022-03-09 20:06,Jack Stauber,Buttercup,208026
2022-03-09 20:08,Vincent Augustus,I Think I'm Tired,151468
2022-03-09 20:11,Booshi,Gucci Gucci Louis Louis,132007
2022-03-09 20:13,ITSOKTOCRY,DEADSET RADIO FUTURE,125648
2022-03-09 20:18,"Tyler, The Creator",IFHY (feat. Pharrell),319253
2022-03-09 20:22,Tame Impala,The Less I Know The Better,216320
2022-03-09 20:26,Channel Tres,Black Moses (feat. JPEGMAFIA),260224
2022-03-09 20:30,FKJ,Risk,238834
2022-03-09 20:43,Redhands,ORANGE SODA,173080
2022-03-10 06:53,Bktherula,LEFT RIGHT,83157
2022-03-10 06:57,Bktherula,IDK WHAT TO TELL YOU,210730
2022-03-10 06:59,Bktherula,Tweakin' Together,126684
2022-03-10 07:01,Bktherula,SANTANNY,123541
2022-03-10 07:13,Bktherula,okok/depressing,101625
2022-03-10 07:47,Bktherula,okok/depressing,75728
2022-03-10 07:49,Bktherula,No Crip,90005
2022-03-10 07:50,Bktherula,LEFT RIGHT - Slowed,92869
2022-03-10 07:53,Bktherula,Coupe,127639
2022-03-10 07:55,Bktherula,Summer,166234
2022-03-10 07:58,Bktherula,ILOVEUBACK<3,134320
2022-03-10 08:00,Bktherula,LETS GET IT,161233
2022-03-10 08:02,Bktherula,INCREDIBLE,96556
2022-03-10 08:04,Bktherula,THROUGH 2 U,129570
2022-03-10 08:07,Bktherula,PLACEMENT (feat. Matt Ox),188307
2022-03-10 08:10,Bktherula,HIT ME,162065
2022-03-10 08:13,Bktherula,GODS PLAN,188968
2022-03-10 08:15,Bktherula,ADVANCED,121536
2022-03-10 08:17,Bktherula,HIDE YOUR HOE,117065
2022-03-10 08:19,Bktherula,WATCH ME,143794
2022-03-10 08:22,Bktherula,YE HO,185000
2022-03-10 08:25,Bktherula,CROWN,141398
2022-03-10 08:27,Bktherula,ARE WE DONE,126922
2022-03-10 08:29,Bktherula,SHE CHOOSE ME,100000
2022-03-10 08:39,Bktherula,NAH,9843
2022-03-10 09:16,Bktherula,NAH,79843
2022-03-10 09:28,Bktherula,III,94224
2022-03-10 15:36,Bktherula,III,77282
2022-03-10 15:38,Bktherula,never had,97893
2022-03-10 15:40,Bktherula,MORE,109960
2022-03-10 15:43,Bktherula,Admit It,139806
2022-03-10 15:55,Bktherula,Summer,137044
2022-03-10 18:26,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2022-03-10 18:29,JPEGMAFIA,Kenan Vs. Kel,181113
2022-03-10 18:32,JPEGMAFIA,Beta Male Strategies,198008
2022-03-10 18:33,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2022-03-10 18:36,JPEGMAFIA,Grimy Waifu,175201
2022-03-10 18:39,JPEGMAFIA,PTSD,148396
2022-03-10 18:51,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,116056
2022-03-11 08:48,Zotiyac,Hell Day,162700
2022-03-11 08:51,Lil Darkie,GAS!,181371
2022-03-11 08:54,KYLE,Carefree,179352
2022-03-11 08:56,Ghostface Playa,Hope,139354
2022-03-11 08:58,CLIFFORD,Streak,78288
2022-03-11 09:00,Evan the Red Headed,Eagle,176119
2022-03-11 09:03,Otis McDonald,Pour Me Another,176580
2022-03-11 09:05,BabySantra,Hold On For Dear Life,94169
2022-03-11 09:09,Rex Orange County,"OPEN A WINDOW (feat. Tyler, The Creator)",218586
2022-03-11 09:10,LXXIV,heroin,92331
2022-03-11 09:14,Chloe,Close,202971
2022-03-11 09:18,Jupiter$ Tyrade,Let Go of the Lead,202000
2022-03-11 09:20,Sinizter,VANTABLACK,119405
2022-03-11 09:22,Kilfiger,Am I Mad ???,119410
2022-03-11 09:25,Latto,Wheelie (feat. 21 Savage),170270
2022-03-11 09:29,Ho99o9,BITE MY FACE (FEAT. COREY TAYLOR),186828
2022-03-11 09:31,Yung Bambi,Better Half,117482
2022-03-11 09:33,Doe Slurp,HYPERPOP MOSH,120425
2022-03-11 09:35,Sinizter,GUCCI DEMON,132004
2022-03-11 09:37,Deep October,body language,108146
2022-03-11 09:39,Cameron Azi,Let Em Talk,138000
2022-03-11 09:43,YNW BSlime,The Mob,237298
2022-03-11 09:46,DaBaby,Turbo,179586
2022-03-11 09:48,Flap PeaCock,PENNYWISE,154016
2022-03-11 09:52,XZARKHAN,SWARMPIT,180000
2022-03-11 09:55,Diplo,Humble,207097
2022-03-11 10:06,Machine Gun Kelly,ay! (feat. Lil Wayne),47720
2022-03-11 10:36,Machine Gun Kelly,ay! (feat. Lil Wayne),76734
2022-03-11 10:39,CHRIST DILLINGER,Who Better Than Me?,223049
