endTime,artistName,trackName,msPlayed
2022-08-01 19:25,BigSmokeChapo,All Redd,175943
2022-08-01 19:28,Shakewell,Sobriety,167263
2022-08-01 19:31,Lil Altoid,Bossed Up,155990
2022-08-01 19:33,Joey Trap,BRACE,98400
2022-08-01 19:35,Bass Santana,late but i'm here,163555
2022-08-01 19:38,SpaceGhostPurrp,Friday (Strip Club),178257
2022-08-01 19:40,Sour Perc30,500 HOURS,85635
2022-08-01 19:41,JUSTOMOBBIN,ASHLEY,83893
2022-08-01 19:44,PlayBoi Monex,Start Dying,167089
2022-08-01 19:47,Jaah SLT,Y2k,197389
2022-08-01 19:51,SwaVay,Shooter,235023
2022-08-01 19:52,Comethazine,1 Deep,72000
2022-08-01 20:12,RealYungPhil,Everything We Need,54660
2022-08-01 20:14,Trippie Redd,The Grinch,91288
2022-08-01 20:16,Trippie Redd,Taking A Walk,121680
2022-08-01 20:19,Trippie Redd,1400 / 999 Freestyle,175954
2022-08-01 20:23,Trippie Redd,Miss The Rage (feat. Playboi Carti),236883
2022-08-01 20:27,Trippie Redd,Rich MF (feat. Polo G & Lil Durk),247714
2022-08-01 20:31,Trippie Redd,Dark Knight Dummo,256162
2022-08-01 20:34,Trippie Redd,Love Scars,143969
2022-08-01 20:37,Juice WRLD,Feline (with Polo G & Trippie Redd),212203
2022-08-01 20:41,Trippie Redd,Topanga,215364
2022-08-01 20:44,Trippie Redd,Who Needs Love,158532
2022-08-01 20:46,Trippie Redd,Molly Hearts,162960
2022-08-01 20:49,Trippie Redd,MP5 (feat. SoFaygo),160000
2022-08-01 20:51,Trippie Redd,Betrayal (feat. Drake),152024
2022-08-01 20:54,Trippie Redd,Finish Line,142654
2022-08-01 20:57,Trippie Redd,Holy Smokes (feat. Lil Uzi Vert),181714
2022-08-01 21:00,Trippie Redd,Super Cell,161027
2022-08-01 21:04,Trippie Redd,Miss The Rage (feat. Playboi Carti),236883
2022-08-01 21:06,Trippie Redd,Supernatural,140832
2022-08-01 21:09,Trippie Redd,Demon Time (feat. Ski Mask The Slump God),159452
2022-08-01 21:12,Trippie Redd,Matt Hardy 999 (feat. Juice WRLD),188025
2022-08-01 21:14,Trippie Redd,Vibes,124060
2022-08-01 21:16,Trippie Redd,New Money,144009
2022-08-01 21:18,Trippie Redd,Danny Phantom (feat. XXXTENTACION),136377
2022-08-01 21:20,Trippie Redd,Space Time,119957
2022-08-01 21:23,Trippie Redd,Baki,147096
2022-08-01 21:25,Trippie Redd,iPhone,121700
2022-08-01 21:29,Trippie Redd,Rich MF (feat. Polo G & Lil Durk),247714
2022-08-01 21:33,Trippie Redd,"Captain Crunch (feat. Sada Baby, Babyface Ray, & Icewear Vezzo)",250065
2022-08-01 21:36,Trippie Redd,PILL BREAKER (feat. blackbear & Machine Gun Kelly),177058
2022-08-01 21:39,Trippie Redd,WITHOUT YOU,189152
2022-08-01 21:42,Trippie Redd,SWIMMING,135903
2022-08-01 21:44,Trippie Redd,FEMALE SHARK,163902
2022-08-01 21:47,Trippie Redd,GERONIMO (feat. Chino Moreno),179201
2022-08-01 21:50,Trippie Redd,SEA WORLD,156573
2022-08-01 21:52,Trippie Redd,RED SKY (feat. Machine Gun Kelly),152149
2022-08-01 21:56,Trippie Redd,MEGLADON,194992
2022-08-01 21:58,Trippie Redd,SAVE YOURSELF,160729
2022-08-01 22:01,Trippie Redd,DREAMER,170000
2022-08-01 22:04,Trippie Redd,IT'S COMING,154120
2022-08-01 22:06,Trippie Redd,LEADERS,160993
2022-08-01 22:10,Trippie Redd,FROZEN OCEAN,204232
2022-08-01 22:13,Trippie Redd,DEAD DESERT (feat. Scarlxrd & ZillaKami),161350
2022-08-01 22:15,Trippie Redd,Let It Out (feat. Myiah Lynnae),176470
2022-08-01 22:18,Trippie Redd,Moonlight,161743
2022-08-01 22:21,Trippie Redd,Love Scars 4,156923
2022-08-01 22:23,Trippie Redd,The Nether,157709
2022-08-01 22:27,Trippie Redd,So Stressed (feat. Yung LB),204850
2022-08-01 22:32,Trippie Redd,Excitement (feat. PARTYNEXTDOOR),283285
2022-08-01 22:34,Trippie Redd,Mood (feat. Chris Brown),143195
2022-08-01 22:36,Trippie Redd,Pegasus,137600
2022-08-01 22:39,Trippie Redd,Weeeeee,152920
2022-08-01 22:41,Trippie Redd,Personal Favorite (feat. Rich The Kid),155154
2022-08-01 22:43,Trippie Redd,V-12,126131
2022-08-01 22:51,Trippie Redd,Spaceships (feat. Young Thug),174653
2022-08-01 22:54,Trippie Redd,Never Change (feat. Future),153473
2022-08-01 23:07,Quanta Science Podcast,Researchers Identify 'Master Problem' Underlying All Cryptography,32860
2022-08-02 00:30,LordSakima,French Avenues,306024
2022-08-02 00:32,Ski Mask The Slump God,Lost In Time,121666
2022-08-02 00:35,Deep October,If I Miss You,175357
2022-08-02 00:38,Bktherula,IDK WHAT TO TELL YOU,210730
2022-08-02 00:40,TeeRi0,Black AirForces,132888
2022-08-02 00:43,Angelo Mota,TONY WITH THE NISSAN,169920
2022-08-02 00:47,Raury,God's Whisper,243706
2022-08-02 00:49,Paris Texas,BETTER DAYS,119333
2022-08-02 00:51,XXXTENTACION,ATTENTION!,120055
2022-08-02 01:05,Evan the Red Headed,Lion,207218
2022-08-02 01:57,Quanta Science Podcast,Researchers Identify 'Master Problem' Underlying All Cryptography,590140
2022-08-02 02:02,Herbie Hancock,Tell Me a Bedtime Story,301866
2022-08-02 02:09,Ahmad Jamal Trio,Stolen Moments,392026
2022-08-02 02:11,Louis Armstrong,What A Wonderful World,137520
2022-08-02 02:18,Donald Byrd,I'm A Fool To Want You - 2006 Digital Remaster,372786
2022-08-02 02:22,Yusef Lateef,Love Theme From Spartacus - Remastered,251600
2022-08-02 02:29,Chick Corea,Crystal Silence,415000
2022-08-02 02:38,Miles Davis,Footprints,585960
2022-08-02 02:42,Billie Holiday,Solitude,207600
2022-08-02 02:53,Dave Holland Quartet,Conference Of The Birds,37858
2022-08-02 04:15,Dave Holland Quartet,Conference Of The Birds,240181
2022-08-02 04:47,John Coltrane,"A Love Supreme, Pt. II - Resolution",437840
2022-08-02 04:50,Chick Corea,Windows,191933
2022-08-02 04:57,Miles Davis Quintet,Four,433106
2022-08-02 05:03,Bill Evans,Skating In Central Park,324200
2022-08-02 05:39,Wes Montgomery,A Day In The Life,183918
2022-08-02 06:17,clipping.,Say the Name,299605
2022-08-02 06:22,clipping.,Nothing is Safe,297249
2022-08-02 06:25,clipping.,Story 2,132050
2022-08-02 06:27,clipping.,Story 2,132050
2022-08-02 06:30,clipping.,Check the Lock,217322
2022-08-02 06:32,clipping.,Wriggle,831
2022-08-02 06:32,clipping.,nothing is safe (remx),69540
2022-08-02 06:32,clipping.,Chapter 319,2936
2022-08-02 06:36,clipping.,Blood of the Fang,279862
2022-08-02 06:40,clipping.,Shooter,209133
2022-08-02 06:44,clipping.,Body & Blood,268372
2022-08-02 06:49,clipping.,Run for Your Life,292446
2022-08-02 06:53,clipping.,Air 'Em Out,230495
2022-08-02 06:57,clipping.,Inside Out,215666
2022-08-02 07:00,clipping.,'96 Neve Campbell,201226
2022-08-02 07:03,clipping.,story,196679
2022-08-02 07:09,clipping.,Dominoes,358228
2022-08-02 07:13,clipping.,Story 7,220454
2022-08-02 07:16,clipping.,Something Underneath,155661
2022-08-02 07:22,clipping.,All Black,375014
2022-08-02 07:36,clipping.,Summertime,188176
2022-08-02 09:42,clipping.,Summertime,54464
2022-08-02 09:47,clipping.,La Mala Ordina,346148
2022-08-02 09:51,clipping.,Enlacing,0
2022-08-02 09:53,clipping.,Wake Up,0
2022-08-02 10:00,Freddie Dredd,Kick Rocks (feat. Lil Darkie),171680
2022-08-02 10:03,Kodak Black,No Flockin',165290
2022-08-02 10:06,SpotemGottem,Killers On They Shit,186233
2022-08-02 10:10,Jupiter$ Tyrade,Let Go of the Lead,202000
2022-08-02 10:12,Godly the Ruler,Daniel Kaluuya,47372
2022-08-02 10:12,Bktherula,Revolver,105354
2022-08-02 10:14,Godly the Ruler,Daniel Kaluuya,114677
2022-08-02 10:16,Paris Texas,PACK 4 DA LOW,126278
2022-08-02 10:18,ZillaKami,IHY,128397
2022-08-02 10:19,clipping.,Intro,53160
2022-08-02 10:22,Tay-K,Gotta Blast (feat. Diego Money & Bandman Fari),131000
2022-08-02 10:24,Joey the Kid,98' Honda,135784
2022-08-02 10:27,LXXIV,M.I.A. Freestyle,172943
2022-08-02 10:29,Juice WRLD,Syphilis,131761
2022-08-02 10:31,JERHELL,Staryu,103732
2022-08-02 10:34,Ethan Ross,I'm Serious,175500
2022-08-02 10:35,Evan the Red Headed,Hands on My Head,64704
2022-08-02 10:35,Afourteen,Tonsil,44040
2022-08-02 10:41,Afourteen,Somniphobia,362587
2022-08-02 10:45,Afourteen,Suburban Sociopath,234794
2022-08-02 10:48,Afourteen,Alfredo,169397
